DOWNLOADED URL,CONTENT SIZE,CONTENT TYPE,# OUTGOING LINKS
https://nypost.com/,336834,text/html; charset=UTF-8,194
https://nypost.com/2018/09/28/trump-orders-fbi-investigation-into-kavanaugh/,257635,text/html; charset=UTF-8,132
https://nypost.com/2018/09/27/brett-kavanaughs-confirmation-fight-in-photos/slide-1/,205162,text/html; charset=UTF-8,95
https://nypost.com/2018/09/29/one-year-later-effects-hardly-felt-for-ncaa-programs-in-fbi-probe/,291870,text/html; charset=UTF-8,138
https://nypost.com/2018/09/28/the-right-bears-brunt-of-uncivil-attacks-but-it-may-soon-haunt-the-left-too/,264655,text/html; charset=UTF-8,139
https://nypost.com/covers/,171309,text/html; charset=UTF-8,113
https://nypost.com/2018/09/28/sec-closes-out-fiscal-year-with-27-charges/,259861,text/html; charset=UTF-8,133
https://nypost.com/rssfeeds/,126138,text/html; charset=UTF-8,133
https://nypost.com/customer-service/,123313,text/html; charset=UTF-8,110
https://nypost.com/privacy/,138198,text/html; charset=UTF-8,108
https://nypost.com/2018/09/29/4-year-old-dead-after-brother-shoves-him-from-building-cops/,261823,text/html; charset=UTF-8,132
https://nypost.com/2018/09/27/why-hbo-is-stunningly-leaving-boxing-behind/,284035,text/html; charset=UTF-8,131
https://nypost.com/2018/09/29/skydiving-instructors-body-found-after-tandem-jump-goes-wrong/,255494,text/html; charset=UTF-8,130
https://nypost.com/business/,167511,text/html; charset=UTF-8,119
https://nypost.com/2018/09/28/loan-firm-will-proceed-with-suit-to-get-45m-back-from-weinstein/,260054,text/html; charset=UTF-8,138
https://nypost.com/fashion/,168888,text/html; charset=UTF-8,126
https://nypost.com/video/hollywoods-creepy-habit-of-joking-about-sex-crimes/,209322,text/html; charset=UTF-8,98
https://nypost.com/media/,172293,text/html; charset=UTF-8,125
https://nypost.com/entertainment/,174894,text/html; charset=UTF-8,127
https://nypost.com/2018/09/28/hedi-slimane-makes-celine-deubt-in-paris/,260479,text/html; charset=UTF-8,141
https://nypost.com/news/,169423,text/html; charset=UTF-8,120
https://nypost.com/2018/09/28/mother-accidentally-sent-nanny-racist-text-fired-her-suit/,264167,text/html; charset=UTF-8,137
https://nypost.com/tech/,167692,text/html; charset=UTF-8,121
https://nypost.com/2018/09/28/that-time-audra-mcdonald-went-into-labor-at-brunch/,259336,text/html; charset=UTF-8,139
https://nypost.com/2018/09/28/dad-breaks-silence-after-6-year-old-autistic-son-found-dead/,257864,text/html; charset=UTF-8,129
https://nypost.com/2018/09/28/dj-khaled-snaps-up-a-26m-mansion-in-miami/,284909,text/html; charset=UTF-8,134
https://nypost.com/2018/09/29/airline-now-says-one-man-missing-after-lagoon-plane-crash/,259728,text/html; charset=UTF-8,130
https://nypost.com/2018/09/28/musk-defends-funding-secured-tweet-as-he-fights-sec-lawsuit/,264727,text/html; charset=UTF-8,136
https://nypost.com/2018/09/29/boxing-has-exciting-immediate-future-despite-hbo-departure/,288320,text/html; charset=UTF-8,132
https://nypost.com/photos/,160942,text/html; charset=UTF-8,118
https://nypost.com/2018/09/28/cara-delevingnes-major-runway-return-in-paris/,258201,text/html; charset=UTF-8,134
https://nypost.com/2018/09/28/cbs-subpoenaed-for-moonves-sexual-misconduct-probes/,259632,text/html; charset=UTF-8,137
https://nypost.com/cover/sept-26-2018/,134857,text/html; charset=UTF-8,95
https://nypost.com/cover/covers-for-sept-27-2018/,135117,text/html; charset=UTF-8,95
https://nypost.com/2018/09/29/the-us-ryder-cup-disaster-is-only-getting-worse/,281266,text/html; charset=UTF-8,129
https://nypost.com/tips/,121951,text/html; charset=UTF-8,101
https://nypost.com/2018/09/28/a-dual-with-barry-bonds-showed-how-good-david-wright-would-be/,291094,text/html; charset=UTF-8,134
https://nypost.com/video/curvaceous-candidate-promises-free-boob-jobs-and-butt-implants/,209727,text/html; charset=UTF-8,98
https://nypost.com/2018/09/29/more-than-380-dead-after-tsunami-hits-indonesia/,258139,text/html; charset=UTF-8,130
https://nypost.com/2018/09/28/jcpenneys-cfo-is-latest-exec-to-fly-the-coop/,258686,text/html; charset=UTF-8,133
https://nypost.com/2018/09/28/tiger-woods-struggles-cost-us-more-than-a-ryder-cup-point/,286249,text/html; charset=UTF-8,133
https://nypost.com/horoscopes/,164712,text/html; charset=UTF-8,151
https://nypost.com/terms/,167663,text/html; charset=UTF-8,100
https://nypost.com/2018/09/28/kavanaugh-pal-mark-judge-says-hes-willing-to-cooperate-with-fbi-probe/,256059,text/html; charset=UTF-8,130
https://nypost.com/2018/09/29/the-democratic-blue-wave-will-start-right-here/,270111,text/html; charset=UTF-8,138
https://nypost.com/2018/09/28/does-fight-against-racial-proficiency-gap-stagnates/,263606,text/html; charset=UTF-8,136
https://nypost.com/2018/09/28/influencer-halloween-costume-manages-to-be-both-brilliant-and-stupid/,263276,text/html; charset=UTF-8,140
https://nypost.com/2018/09/29/woman-says-lawmaker-raped-her-the-night-she-graduated-georgetown/,261180,text/html; charset=UTF-8,133
https://nypost.com/2018/09/29/flawed-yankees-powering-their-way-through-shortcomings/,286943,text/html; charset=UTF-8,133
https://nypost.com/2018/09/28/11-year-old-security-flaw-in-vote-scanner-still-isnt-fixed/,261385,text/html; charset=UTF-8,134
https://nypost.com/2018/09/28/con-man-gigolo-was-all-smiles-at-sentencing/,260921,text/html; charset=UTF-8,133
https://nypost.com/2018/09/28/facebook-reveals-security-breach-affecting-50-million-users/,257489,text/html; charset=UTF-8,130
https://nypost.com/2018/09/26/lovebird-gotham-stars-selling-manhattan-condo/,267905,text/html; charset=UTF-8,133
https://nypost.com/metro/,172468,text/html; charset=UTF-8,120
